step_id,model_type,scenario_id,latency_ms,emotional_valence,coherence_score,planning_effectiveness,behavioral_alignment,fact_recall,rule_adherence,persona_consistency,emotional_trajectory,sensory_integration,decision_consistency,memory_hits
4,Baseline,The_Alithia-7_Pressure_Breach,3698.8089,0.5,4,5,2,6,3,4,3,6,5,0
5,BrainCEMISID,The_Alithia-7_Pressure_Breach,31300.4011,0.9,10,9,3,10,10,7,6,3,10,2
5,Brain_No_Memory,The_Alithia-7_Pressure_Breach,18050.7119,0.9,8,5,10,3,8,10,10,8,8,2
5,Brain_No_Emotion,The_Alithia-7_Pressure_Breach,26922.6282,0,9,6,10,8,9,8,7,4,9,2
5,Baseline,The_Alithia-7_Pressure_Breach,3676.7837,0.5,3,2,1,1,2,1,1,2,2,0
6,BrainCEMISID,The_Alithia-7_Pressure_Breach,31183.2538,0.9,9,5,9,8,10,9,8,3,9,2
6,Brain_No_Memory,The_Alithia-7_Pressure_Breach,17666.2647,0.9,7,2,4,8,2,9,8,7,4,2
6,Brain_No_Emotion,The_Alithia-7_Pressure_Breach,27985.5723,0,9,5,8,9,9,8,7,3,9,2
6,Baseline,The_Alithia-7_Pressure_Breach,3739.4155,0.5,3,3,1,5,2,1,1,1,2,0
7,BrainCEMISID,The_Alithia-7_Pressure_Breach,31899.1466,1,9,8,10,10,10,9,7,2,10,2
7,Brain_No_Memory,The_Alithia-7_Pressure_Breach,18125.4247,1,5,2,2,8,4,4,3,1,1,2
7,Brain_No_Emotion,The_Alithia-7_Pressure_Breach,27261.0354,0,8,4,3,10,7,4,1,1,5,2
7,Baseline,The_Alithia-7_Pressure_Breach,3829.23,0.5,5,2,3,8,2,1,2,1,6,0
8,BrainCEMISID,The_Alithia-7_Pressure_Breach,31289.8267,0.95,8,6,7,6,8,8,7,1,8,2
8,Brain_No_Memory,The_Alithia-7_Pressure_Breach,19582.4693,0.95,6,7,4,5,7,5,4,3,6,2
8,Brain_No_Emotion,The_Alithia-7_Pressure_Breach,28812.0006,0,9,9,8,7,10,7,7,1,10,2
8,Baseline,The_Alithia-7_Pressure_Breach,3687.1943,0.5,4,3,1,6,2,1,1,2,1,0
9,BrainCEMISID,The_Alithia-7_Pressure_Breach,31333.0528,1,9,4,9,10,7,9,8,2,9,2
9,Brain_No_Memory,The_Alithia-7_Pressure_Breach,18192.6443,1,8,4,9,6,7,10,9,5,8,2
9,Brain_No_Emotion,The_Alithia-7_Pressure_Breach,27825.8233,0,9,7,9,10,7,7,7,3,9,2
9,Baseline,The_Alithia-7_Pressure_Breach,3700.2634,0.5,2,2,1,10,2,1,1,1,3,0
10,BrainCEMISID,The_Alithia-7_Pressure_Breach,31302.0019,1,9,8,7,10,10,9,9,4,10,2
10,Brain_No_Memory,The_Alithia-7_Pressure_Breach,18061.5338,1,8,8,10,6,9,10,10,6,9,2
10,Brain_No_Emotion,The_Alithia-7_Pressure_Breach,28126.0272,0,9,10,2,10,7,7,5,4,9,2
10,Baseline,The_Alithia-7_Pressure_Breach,3755.7679,0.5,5,2,1,7,2,1,1,2,4,0
11,BrainCEMISID,The_Alithia-7_Pressure_Breach,31586.955,1,3,3,3,1,3,3,1,1,3,2
11,Brain_No_Memory,The_Alithia-7_Pressure_Breach,19436.499,1,9,10,10,9,9,10,9,3,9,2
11,Brain_No_Emotion,The_Alithia-7_Pressure_Breach,27105.8717,0,10,9,10,9,10,6,4,3,10,2
11,Baseline,The_Alithia-7_Pressure_Breach,3698.9079,0.5,5,4,3,8,5,1,1,1,7,0
12,BrainCEMISID,The_Alithia-7_Pressure_Breach,31913.7085,1,10,10,10,8,10,10,10,6,10,2
12,Brain_No_Memory,The_Alithia-7_Pressure_Breach,17525.6892,1,8,10,9,7,9,9,8,6,9,2
12,Brain_No_Emotion,The_Alithia-7_Pressure_Breach,27799.9309,0,8,9,8,4,10,8,7,1,9,2
12,Baseline,The_Alithia-7_Pressure_Breach,3775.623,0.5,3,4,1,3,1,1,1,1,1,0
13,BrainCEMISID,The_Alithia-7_Pressure_Breach,31919.867,1,9,7,2,10,8,9,2,3,8,2
13,Brain_No_Memory,The_Alithia-7_Pressure_Breach,18905.569,1,2,3,3,0,2,3,1,1,2,2
13,Brain_No_Emotion,The_Alithia-7_Pressure_Breach,28591.7296,0,8,7,3,9,10,5,2,1,8,2
13,Baseline,The_Alithia-7_Pressure_Breach,3740.5201,0.5,5,2,4,6,2,1,6,4,3,0
1,BrainCEMISID,Andean_Disaster_Response:_Autonomous_Triage,30438.7462,0.45,9,10,9,10,10,9,8,1,10,2
1,Brain_No_Memory,Andean_Disaster_Response:_Autonomous_Triage,18854.9998,0.45,9,10,9,9,9,9,8,1,9,2
1,Brain_No_Emotion,Andean_Disaster_Response:_Autonomous_Triage,25083.0621,0,10,10,9,10,10,8,7,1,10,2
1,Baseline,Andean_Disaster_Response:_Autonomous_Triage,2889.8171,0.5,6,5,3,10,10,1,1,1,10,0
2,BrainCEMISID,Andean_Disaster_Response:_Autonomous_Triage,31977.9823,0.6,8,3,2,10,9,9,7,3,7,2
2,Brain_No_Memory,Andean_Disaster_Response:_Autonomous_Triage,17527.4909,0.6,5,4,2,0,2,7,6,3,5,2
2,Brain_No_Emotion,Andean_Disaster_Response:_Autonomous_Triage,27265.1967,0,8,6,3,7,4,7,5,4,7,2
